Project,Date,Chinook Run,Chinook,Jack Chinook,Steelhead,Wild Steelhead,Sockeye,Coho,Jack Coho,Shad,Lamprey,Bull Trout,Chum,Pink,TempC
Willamette Falls,3/8/02,,,,58,,,,,,,,,,6.7
Willamette Falls,3/9/02,,1,,45,,,,,,,,,,
Willamette Falls,3/10/02,,,,64,,,,,,,,,,
Willamette Falls,3/11/02,,,,173,,,,,,,,,,6.7
Willamette Falls,3/12/02,,,,176,,,,,,,,,,7.2
Willamette Falls,3/13/02,,,,53,,,,,,,,,,7.8
Willamette Falls,3/14/02,,,,43,,,,,,,,,,7.2
Willamette Falls,3/15/02,,,,73,,,,,,,,,,7.2
Willamette Falls,3/16/02,,,,150,,,,,,,,,,
Willamette Falls,3/17/02,,,,144,,,,,,,,,,
Willamette Falls,3/18/02,,,,110,,,,,,,,,,6.7
Willamette Falls,3/19/02,,,,111,,,,,,,,,,6.1
Willamette Falls,3/20/02,,,,75,,,,,,,,,,6.7
Willamette Falls,3/21/02,,,,342,,,,,,,,,,7.2
Willamette Falls,3/22/02,,1,,515,,,,,,,,,,7.2
Willamette Falls,3/23/02,,3,,504,,,,,,,,,,
Willamette Falls,3/24/02,,2,,376,,,,,,,,,,
Willamette Falls,3/25/02,,5,,301,,,,,,,,,,8.3
Willamette Falls,3/26/02,,6,,236,,,,,,,,,,8.9
Willamette Falls,3/27/02,,3,,160,,,,,,,,,,8.9
Willamette Falls,3/28/02,,6,,216,,,,,,,,,,8.9
Willamette Falls,3/29/02,,2,,217,,,,,,,,,,
Willamette Falls,3/30/02,,12,,207,,,,,,,,,,9.4
Willamette Falls,3/31/02,,8,,173,,,,,,,,,,
Willamette Falls,4/1/02,,24,,195,,,,,,,,,,10
Willamette Falls,4/2/02,,14,1,211,,,,,,,,,,10
Willamette Falls,4/3/02,,20,,273,,,,,,,,,,10.6
Willamette Falls,4/4/02,,30,,231,,,,,,,,,,11.1
Willamette Falls,4/5/02,,82,,389,,,,,,,,,,11.1
Willamette Falls,4/6/02,,98,,367,,,,,,,,,,
Willamette Falls,4/7/02,,89,,268,,,,,,,,,,
Willamette Falls,4/8/02,,99,,229,,,,,,,,,,10
Willamette Falls,4/9/02,,78,,265,,,,,,,,,,10
Willamette Falls,4/10/02,,268,,397,,,,,,,,,,10.6
Willamette Falls,4/11/02,,170,,425,,,,,,,,,,10.6
Willamette Falls,4/12/02,,117,,319,,,,,,,,,,10.6
Willamette Falls,4/13/02,,51,,209,,,,,,,,,,
Willamette Falls,4/14/02,,30,,211,,,,,,,,,,
Willamette Falls,4/15/02,,9,,93,,,,,,,,,,10
Willamette Falls,4/16/02,,1,,17,,,,,,,,,,9.4
Willamette Falls,4/17/02,,1,,18,,,,,,,,,,8.3
Willamette Falls,4/18/02,,,,65,,,,,,,,,,8.3
Willamette Falls,4/19/02,,7,,151,,,,,,,,,,8.3
Willamette Falls,4/20/02,,83,,467,,,,,,,,,,
Willamette Falls,4/21/02,,259,1,568,,,,,,,,,,
Willamette Falls,4/22/02,,342,1,426,,,,,,,,,,9.4
Willamette Falls,4/23/02,,608,6,459,,,,,,,,,,9.4
Willamette Falls,4/24/02,,973,13,414,,,,,,,,,,10.6
Willamette Falls,4/25/02,,1056,25,462,,,,,,,,,,11.1
Willamette Falls,4/26/02,,1194,22,459,,,,,,,,,,11.7
Willamette Falls,4/27/02,,1165,15,291,,,,,,,,,,
Willamette Falls,4/28/02,,1320,11,235,,,,,,,,,,
Willamette Falls,4/29/02,,1823,13,283,,,,,,,,,,11.7
Willamette Falls,4/30/02,,2569,24,352,,,,,,,,,,12.2
Willamette Falls,5/1/02,,2311,35,256,,,,,,,,,,12.8
Willamette Falls,5/2/02,,2563,39,245,,,,,,,,,,13.3
Willamette Falls,5/3/02,,2105,27,245,,,,,,,,,,12.8
Willamette Falls,5/4/02,,1775,22,282,,,,,,,,,,12.2
Willamette Falls,5/5/02,,1682,34,229,,,,,,,,,,12.2
Willamette Falls,5/6/02,,1155,21,242,,,,,,,,,,11.7
Willamette Falls,5/7/02,,1458,30,216,,,,,,,,,,11.7
Willamette Falls,5/8/02,,1270,17,181,,,,,,,,,,11.7
Willamette Falls,5/9/02,,1265,10,268,,,,,,,,,,11.7
Willamette Falls,5/10/02,,1448,11,305,,,,,,,,,,11.7
Willamette Falls,5/11/02,,1707,26,312,,,,,,,,,,
Willamette Falls,5/12/02,,1870,19,384,,,,,,,,,,
Willamette Falls,5/13/02,,1550,25,452,,,,,,,,,,12.8
Willamette Falls,5/14/02,,1741,19,337,,,,,,,,,,13.3
Willamette Falls,5/15/02,,1526,13,351,,,,,,,,,,13.3
Willamette Falls,5/16/02,,1217,12,374,,,,,,,,,,13.9
Willamette Falls,5/17/02,,1775,29,362,,,,,,,,,,13.9
Willamette Falls,5/18/02,,1594,15,309,,,,,,,,,,13.9
Willamette Falls,5/19/02,,1214,22,280,,,,,,,,,,
Willamette Falls,5/20/02,,980,9,233,,,,,,,,,,13.9
Willamette Falls,5/21/02,,813,14,333,,,,,,,,,,13.3
Willamette Falls,5/22/02,,651,10,354,,,,,,,,,,13.3
Willamette Falls,5/23/02,,768,12,379,,,,,,,,,,13.3
Willamette Falls,5/24/02,,1048,16,423,,,,,,,,,,13.3
Willamette Falls,5/25/02,,1200,22,523,,,,,,,,,,
Willamette Falls,5/26/02,,1603,23,606,,,,,,,,,,
Willamette Falls,5/27/02,,1151,15,642,,,,,,,,,,
Willamette Falls,5/28/02,,975,15,647,,,,,,,,,,15.6
Willamette Falls,5/29/02,,1090,7,612,,,,,,,,,,15.6
Willamette Falls,5/30/02,,1781,12,603,,,,,,,,,,15
Willamette Falls,5/31/02,,1249,21,596,,,,,,,,,,15
Willamette Falls,6/1/02,,1320,14,564,,,,,,,,,,
Willamette Falls,6/2/02,,1170,12,476,,,,,,,,,,
Willamette Falls,6/3/02,,1157,18,610,,,,,,,,,,15.6
Willamette Falls,6/4/02,,1121,12,636,,,,,,,,,,15.6
Willamette Falls,6/5/02,,924,10,567,,,,,,,,,,16.1
Willamette Falls,6/6/02,,936,12,547,,,,,,,,,,16.1
Willamette Falls,6/7/02,,855,7,497,,,,,,,,,,16.1
Willamette Falls,6/8/02,,687,6,369,,,,,,,,,,
Willamette Falls,6/9/02,,610,9,368,,,,,,,,,,
Willamette Falls,6/10/02,,537,10,459,,,,,,,,,,15.6
Willamette Falls,6/11/02,,543,3,466,,,,,,,,,,15.6
Willamette Falls,6/12/02,,602,8,378,,,,,,,,,,15.6
Willamette Falls,6/13/02,,940,8,466,,,,,,,,,,16.7
Willamette Falls,6/14/02,,730,4,306,,,,,,,,,,17.8
Willamette Falls,6/15/02,,574,8,198,,,,,,,,,,
Willamette Falls,6/16/02,,645,3,188,,,,,,,,,,
Willamette Falls,6/17/02,,427,1,190,,,,,,,,,,18.9
Willamette Falls,6/18/02,,635,,342,,,,,,,,,,17.8
Willamette Falls,6/19/02,,511,2,350,,,,,,,,,,16.7
Willamette Falls,6/20/02,,390,,318,,,,,,,,,,16.1
Willamette Falls,6/21/02,,326,4,296,,,,,,,,,,16.1
Willamette Falls,6/22/02,,427,1,362,,,,,,,,,,
Willamette Falls,6/23/02,,723,3,485,,,,,,,,,,
Willamette Falls,6/24/02,,871,5,552,,,,,,,,,,18.9
Willamette Falls,6/25/02,,860,11,462,,,,,,,,,,
Willamette Falls,6/26/02,,673,,310,,,,,,,,,,19.4
Willamette Falls,6/27/02,,477,3,224,,,,,,,,,,20
Willamette Falls,6/28/02,,164,1,129,,,,,,,,,,20
Willamette Falls,6/29/02,,235,,271,,,,,,,,,,
Willamette Falls,6/30/02,,273,,250,,,,,,,,,,
Willamette Falls,7/1/02,,370,2,199,,,,,,,,,,19.4
Willamette Falls,7/2/02,,399,1,279,,,,,,,,,,
Willamette Falls,7/3/02,,346,,238,,,,,,,,,,18.9
Willamette Falls,7/4/02,,296,7,176,,,,,,,,,,
Willamette Falls,7/5/02,,236,4,109,,,,,,,,,,18.9
Willamette Falls,7/6/02,,216,1,124,,,,,,,,,,
Willamette Falls,7/7/02,,257,9,112,,,,,,,,,,
Willamette Falls,7/8/02,,172,1,74,,,,,,,,,,20
Willamette Falls,7/9/02,,134,5,127,,,,,,,,,,20
Willamette Falls,7/10/02,,153,2,115,,,,,,,,,,21.1
Willamette Falls,7/11/02,,133,1,60,,,,,,,,,,21.7
Willamette Falls,7/12/02,,88,5,53,,,,,,,,,,21.7
Willamette Falls,7/13/02,,64,,59,,,,,,,,,,
Willamette Falls,7/14/02,,63,,28,,,,,,,,,,
Willamette Falls,7/15/02,,36,1,12,,,,,,,,,,23.3
Willamette Falls,7/16/02,,34,,7,,,,,,,,,,23.3
Willamette Falls,7/17/02,,27,,7,,,,,,,,,,23.9
Willamette Falls,7/18/02,,20,,2,,,,,,,,,,23.3
Willamette Falls,7/19/02,,15,,18,,,,,,,,,,22.8
Willamette Falls,7/20/02,,15,,16,,,,,,,,,,
Willamette Falls,7/21/02,,33,,21,,,,,,,,,,
Willamette Falls,7/22/02,,41,1,17,,,,,,,,,,22.8
Willamette Falls,7/23/02,,30,2,19,,,,,,,,,,22.8
Willamette Falls,7/24/02,,20,,12,,,,,,,,,,22.8
Willamette Falls,7/25/02,,15,,8,,,,,,,,,,22.8
Willamette Falls,7/26/02,,42,,7,,,,,,,,,,23.3
Willamette Falls,7/27/02,,89,1,14,,,,,,,,,,
Willamette Falls,7/28/02,,75,,22,,,,,,,,,,
Willamette Falls,7/29/02,,69,2,20,,,,,,,,,,22.8
Willamette Falls,7/30/02,,72,,37,,,,,,,,,,
Willamette Falls,7/31/02,,57,1,40,,,,,,,,,,22.2
Willamette Falls,8/1/02,,110,,46,,,,,,,,,,22.2
Willamette Falls,8/2/02,,38,2,17,,,,,,,,,,22.2
Willamette Falls,8/3/02,,68,1,56,,,,,,,,,,
Willamette Falls,8/4/02,,94,4,80,,,,,,,,,,
Willamette Falls,8/5/02,,100,5,109,,,,,,,,,,21.7
Willamette Falls,8/6/02,,53,,91,,,,,,,,,,21.1
Willamette Falls,8/7/02,,83,3,64,,,1,,,,,,,20.6
Willamette Falls,8/8/02,,69,3,113,,,1,,,,,,,20.6
Willamette Falls,8/9/02,,74,4,126,,,2,,,,,,,20
Willamette Falls,8/10/02,,50,4,191,,,6,,,,,,,
Willamette Falls,8/11/02,,42,9,198,,,13,9,,,,,,
Willamette Falls,8/12/02,,65,7,129,,,14,17,,,,,,20.6
Willamette Falls,8/13/02,,44,10,76,,,6,1,,,,,,
Willamette Falls,8/14/02,,24,4,93,,,3,2,,,,,,21.7
Willamette Falls,8/15/02,,18,2,94,,,5,2,,,,,,22.2
Willamette Falls,8/16/02,,36,3,111,,,7,7,,,,,,19.4
Willamette Falls,8/17/02,,29,1,110,,,7,7,,,,,,
Willamette Falls,8/18/02,,32,8,107,,,5,3,,,,,,
Willamette Falls,8/19/02,,6,,17,,,2,1,,,,,,22.8
Willamette Falls,8/20/02,,,,,,,,,,,,,,21.1
Willamette Falls,8/21/02,,,,,,,,,,,,,,20
Willamette Falls,8/22/02,,,,,,,,,,,,,,20.6
Willamette Falls,8/23/02,,,,2,,,,,,,,,,21.1
Willamette Falls,8/24/02,,3,,8,,,,,,,,,,
Willamette Falls,8/25/02,,2,,6,,,,,,,,,,
Willamette Falls,8/26/02,,3,2,8,,,,,,,,,,21.1
Willamette Falls,8/27/02,,6,,10,,,,,,,,,,20.6
Willamette Falls,8/28/02,,15,,21,,,,,,,,,,21.1
Willamette Falls,8/29/02,,31,,25,,,,,,,,,,21.7
Willamette Falls,8/30/02,,24,,17,,,,,,,,,,21.1
Willamette Falls,8/31/02,,17,,31,,,,,,,,,,
Willamette Falls,9/1/02,,20,,23,,,3,,,,,,,21.7
Willamette Falls,9/2/02,,23,1,12,,,4,,,,,,,
Willamette Falls,9/3/02,,33,,38,,,9,10,,,,,,21.7
Willamette Falls,9/4/02,,37,,43,,,7,12,,,,,,21.1
Willamette Falls,9/5/02,,31,,54,,,2,12,,,,,,20.6
Willamette Falls,9/6/02,,43,,106,,,7,1,,,,,,20.6
Willamette Falls,9/7/02,,36,1,19,,,2,6,,,,,,
Willamette Falls,9/8/02,,38,1,32,,,,2,,,,,,
Willamette Falls,9/9/02,,33,3,31,,,8,6,,,,,,19.4
Willamette Falls,9/10/02,,50,7,51,,,6,3,,,,,,18.9
Willamette Falls,9/11/02,,50,4,55,,,5,1,,,,,,18.3
Willamette Falls,9/12/02,,34,1,41,,,9,12,,,,,,18.3
Willamette Falls,9/13/02,,15,,41,,,32,57,,,,,,18.3
Willamette Falls,9/14/02,,18,9,38,,,19,67,,,,,,
Willamette Falls,9/15/02,,6,1,15,,,27,65,,,,,,
Willamette Falls,9/16/02,,9,3,9,,,24,45,,,,,,19.4
Willamette Falls,9/17/02,,6,1,36,,,26,55,,,,,,19.4
Willamette Falls,9/18/02,,4,,34,,,20,64,,,,,,18.9
Willamette Falls,9/19/02,,4,,70,,,32,61,,,,,,18.9
Willamette Falls,9/20/02,,4,,83,,,100,170,,,,,,17.8
Willamette Falls,9/21/02,,5,,55,,,124,223,,,,,,
Willamette Falls,9/22/02,,25,13,16,,,65,91,,,,,,
Willamette Falls,9/23/02,,32,30,27,,,64,110,,,,,,17.8
Willamette Falls,9/24/02,,20,15,30,,,79,106,,,,,,17.8
Willamette Falls,9/25/02,,5,2,18,,,53,95,,,,,,17.8
Willamette Falls,9/26/02,,3,,9,,,41,64,,,,,,17.2
Willamette Falls,9/27/02,,5,1,15,,,46,74,,,,,,17.8
Willamette Falls,9/28/02,,1,,16,,,48,79,,,,,,
Willamette Falls,9/29/02,,,,10,,,40,49,,,,,,
Willamette Falls,9/30/02,,,,12,,,58,65,,,,,,17.2
Willamette Falls,10/1/02,,3,,26,,,99,74,,,,,,16.7
Willamette Falls,10/2/02,,2,,19,,,105,45,,,,,,16.7
Willamette Falls,10/3/02,,2,,26,,,90,51,,,,,,15.6
Willamette Falls,10/4/02,,,,31,,,88,48,,,,,,15.6
Willamette Falls,10/5/02,,1,,18,,,82,58,,,,,,
Willamette Falls,10/6/02,,1,,17,,,67,25,,,,,,
Willamette Falls,10/7/02,,,,42,,,43,22,,,,,,14.4
Willamette Falls,10/8/02,,,,14,,,86,46,,,,,,14.4
Willamette Falls,10/9/02,,,,14,,,64,34,,,,,,15
Willamette Falls,10/10/02,,1,,21,,,39,33,,,,,,15
Willamette Falls,10/11/02,,1,,11,,,41,19,,,,,,15.6
Willamette Falls,10/12/02,,,,9,,,55,21,,,,,,15
Willamette Falls,10/13/02,,,,6,,,52,27,,,,,,
Willamette Falls,10/14/02,,1,,5,,,38,28,,,,,,14.4
Willamette Falls,10/15/02,,,,8,,,27,20,,,,,,
Willamette Falls,10/16/02,,3,,5,,,30,15,,,,,,13.3
Willamette Falls,10/17/02,,2,,9,,,21,15,,,,,,
Willamette Falls,10/18/02,,2,,9,,,17,13,,,,,,13.3
Willamette Falls,10/19/02,,3,,10,,,16,12,,,,,,
Willamette Falls,10/20/02,,2,,13,,,16,12,,,,,,
Willamette Falls,10/21/02,,,,6,,,15,10,,,,,,13.9
Willamette Falls,10/22/02,,,,17,,,25,17,,,,,,13.9
Willamette Falls,10/23/02,,,,6,,,4,8,,,,,,14.4
Willamette Falls,10/24/02,,,,6,,,7,9,,,,,,
Willamette Falls,10/25/02,,,,6,,,9,3,,,,,,
Willamette Falls,10/26/02,,,,12,,,4,3,,,,,,
Willamette Falls,10/27/02,,,,5,,,1,,,,,,,
Willamette Falls,10/28/02,,,,12,,,5,4,,,,,,12.2
Willamette Falls,10/29/02,,,,7,,,5,1,,,,,,11.7
Willamette Falls,10/30/02,,,,16,,,3,,,,,,,11.1
Willamette Falls,10/31/02,,,,4,,,5,4,,,,,,10.6
Willamette Falls,11/1/02,,,,7,,,4,,,,,,,10
Willamette Falls,11/2/02,,,,4,,,3,1,,,,,,
Willamette Falls,11/3/02,,,,5,,,1,,,,,,,
Willamette Falls,11/4/02,,,,2,,,1,,,,,,,8.3
Willamette Falls,11/5/02,,,,3,,,1,,,,,,,7.8
Willamette Falls,11/6/02,,,,5,,,1,,,,,,,7.8
Willamette Falls,11/7/02,,,,5,,,5,2,,,,,,7.8
Willamette Falls,11/8/02,,,,7,,,3,1,,,,,,8.3
Willamette Falls,11/9/02,,,,18,,,4,8,,,,,,
Willamette Falls,11/10/02,,,,22,,,21,18,,,,,,
Willamette Falls,11/11/02,,,,18,,,25,13,,,,,,10
Willamette Falls,11/12/02,,,,24,,,25,13,,,,,,10
Willamette Falls,11/13/02,,,,21,,,13,6,,,,,,10
Willamette Falls,11/14/02,,,,13,,,6,7,,,,,,
Willamette Falls,11/15/02,,,,14,,,6,9,,,,,,10
Willamette Falls,11/16/02,,,,15,,,7,1,,,,,,
Willamette Falls,11/17/02,,,,10,,,2,1,,,,,,
Willamette Falls,11/18/02,,,,7,,,1,3,,,,,,10
Willamette Falls,11/19/02,,,,2,,,3,1,,,,,,
Willamette Falls,11/20/02,,,,15,,,2,,,,,,,10
Willamette Falls,11/21/02,,,,4,,,6,,,,,,,10
Willamette Falls,11/22/02,,,,5,,,1,,,,,,,10
Willamette Falls,11/23/02,,,,9,,,2,,,,,,,
Willamette Falls,11/24/02,,,,4,,,,,,,,,,
Willamette Falls,11/25/02,,,,5,,,,,,,,,,10
Willamette Falls,11/26/02,,,,4,,,,,,,,,,10
Willamette Falls,11/27/02,,,,3,,,,,,,,,,9.4
Willamette Falls,11/28/02,,,,2,,,,,,,,,,
Willamette Falls,11/29/02,,,,6,,,,1,,,,,,8.3
Willamette Falls,11/30/02,,,,3,,,,,,,,,,
Willamette Falls,12/1/02,,,,2,,,,1,,,,,,
Willamette Falls,12/2/02,,,,3,,,,,,,,,,7.2
Willamette Falls,12/3/02,,,,1,,,,,,,,,,7.2
Willamette Falls,12/4/02,,,,2,,,,,,,,,,6.7
Willamette Falls,12/5/02,,,,2,,,,,,,,,,
Willamette Falls,12/6/02,,,,2,,,,,,,,,,6.7
Willamette Falls,12/7/02,,,,1,,,,,,,,,,
Willamette Falls,12/8/02,,,,3,,,1,,,,,,,
Willamette Falls,12/9/02,,,,2,,,1,,,,,,,6.7
Willamette Falls,12/10/02,,,,3,,,,,,,,,,6.7
Willamette Falls,12/11/02,,,,7,,,,,,,,,,
Willamette Falls,12/12/02,,,,6,,,,,,,,,,6.7
Willamette Falls,12/13/02,,,,11,,,,,,,,,,6.7
Willamette Falls,12/14/02,,,,16,,,,,,,,,,
Willamette Falls,12/15/02,,,,18,,,1,,,,,,,
Willamette Falls,12/16/02,,,,6,,,,,,,,,,8.9
Willamette Falls,12/17/02,,,,2,,,,,,,,,,8.3
Willamette Falls,12/18/02,,,,5,,,,,,,,,,
Willamette Falls,12/19/02,,,,5,,,,,,,,,,
Willamette Falls,12/20/02,,,,3,,,,,,,,,,7.2
Willamette Falls,12/21/02,,,,11,,,,,,,,,,
Willamette Falls,12/22/02,,,,9,,,,,,,,,,
Willamette Falls,12/23/02,,,,12,,,,,,,,,,7.2
Willamette Falls,12/24/02,,,,10,,,,,,,,,,
Willamette Falls,12/25/02,,,,10,,,,,,,,,,
Willamette Falls,12/26/02,,,,11,,,,,,,,,,7.2
Willamette Falls,12/27/02,,,,6,,,,,,,,,,7.2
Willamette Falls,12/28/02,,,,23,,,,,,,,,,
Willamette Falls,12/29/02,,,,15,,,,,,,,,,
Willamette Falls,12/30/02,,,,7,,,,,,,,,,7.2
Willamette Falls,12/31/02,,,,15,,,,,,,,,,
Willamette Falls,1/1/03,,,,4,,,,,,,,,,
Willamette Falls,1/2/03,,,,10,,,,,,,,,,10
Willamette Falls,1/3/03,,,,7,,,,,,,,,,7.8
Willamette Falls,1/4/03,,,,5,,,,,,,,,,
Willamette Falls,1/5/03,,,,13,,,,,,,,,,
Willamette Falls,1/6/03,,,,15,,,,,,,,,,8.3
Willamette Falls,1/7/03,,,,18,,,,,,,,,,7.8
Willamette Falls,1/8/03,,,,15,,,,,,,,,,7.2
Willamette Falls,1/9/03,,,,12,,,,,,,,,,6.7
Willamette Falls,1/10/03,,,,18,,,,,,,,,,6.1
Willamette Falls,1/11/03,,,,28,,,,,,,,,,
Willamette Falls,1/12/03,,,,24,,,,,,,,,,
Willamette Falls,1/13/03,,,,67,,,,,,,,,,6.7
Willamette Falls,1/14/03,,,,47,,,,,,,,,,7.2
Willamette Falls,1/15/03,,,,67,,,,,,,,,,
Willamette Falls,1/16/03,,,,63,,,,,,,,,,7.2
Willamette Falls,1/17/03,,,,50,,,,,,,,,,7.2
Willamette Falls,1/18/03,,,,24,,,,,,,,,,
Willamette Falls,1/19/03,,,,11,,,,,,,,,,6.7
Willamette Falls,1/20/03,,,,11,,,,,,,,,,
Willamette Falls,1/21/03,,,,9,,,,,,,,,,6.7
Willamette Falls,1/22/03,,,,19,,,,,,,,,,6.7
Willamette Falls,1/23/03,,,,45,,,,,,,,,,6.7
Willamette Falls,1/24/03,,,,18,,,,,,,,,,7.2
Willamette Falls,1/25/03,,,,79,,,,,,,,,,
Willamette Falls,1/26/03,,,,160,,,,,,,,,,
Willamette Falls,1/27/03,,,,101,,,,,,,,,,8.9
Willamette Falls,1/28/03,,,,81,,,,,,,,,,9.4
Willamette Falls,1/29/03,,,,54,,,,,,,,,,8.9
Willamette Falls,1/30/03,,,,40,,,,,,,,,,
Willamette Falls,1/31/03,,,,10,,,,,,,,,,8.9
Willamette Falls,2/1/03,,,,15,,,,,,,,,,
Willamette Falls,2/2/03,,,,10,,,,,,,,,,
Willamette Falls,2/3/03,,,,13,,,,,,,,,,8.9
Willamette Falls,2/4/03,,,,16,,,,,,,,,,8.3
Willamette Falls,2/5/03,,,,53,,,,,,,,,,8.3
Willamette Falls,2/6/03,,,,84,,,,,,,,,,
Willamette Falls,2/7/03,,,,99,,,,,,,,,,7.2
Willamette Falls,2/8/03,,,,74,,,,,,,,,,
Willamette Falls,2/9/03,,,,62,,,,,,,,,,
Willamette Falls,2/10/03,,,,74,,,,,,,,,,6.1
Willamette Falls,2/11/03,,,,64,,,,,,,,,,6.1
Willamette Falls,2/12/03,,,,60,,,,,,,,,,
Willamette Falls,2/13/03,,,,86,,,,,,,,,,6.7
Willamette Falls,2/14/03,,,,58,,,,,,,,,,6.7
Willamette Falls,2/15/03,,,,46,,,,,,,,,,
Willamette Falls,2/16/03,,,,172,,,,,,,,,,
Willamette Falls,2/17/03,,,,102,,,,,,,,,,8.3
Willamette Falls,2/18/03,,,,112,,,,,,,,,,8.3
Willamette Falls,2/19/03,,,,18,,,,,,,,,,7.8
Willamette Falls,2/20/03,,,,92,,,,,,,,,,7.8
Willamette Falls,2/21/03,,,,234,,,,,,,,,,8.3
Willamette Falls,2/22/03,,,,289,,,,,,,,,,
Willamette Falls,2/23/03,,,,272,,,,,,,,,,
Willamette Falls,2/24/03,,,,112,,,,,,,,,,7.8
Willamette Falls,2/25/03,,,,36,,,,,,,,,,7.2
Willamette Falls,2/26/03,,,,35,,,,,,,,,,6.7
Willamette Falls,2/27/03,,,,26,,,,,,,,,,6.1
Willamette Falls,2/28/03,,,,40,,,,,,,,,,6.7
Willamette Falls,3/1/03,,,,82,,,,,,,,,,
Willamette Falls,3/2/03,,,,52,,,,,,,,,,
Willamette Falls,3/3/03,,,,111,,,,,,,,,,7.8
Willamette Falls,3/4/03,,2,,87,,,,,,,,,,7.8
Willamette Falls,3/5/03,,1,,32,,,,,,,,,,7.8
Willamette Falls,3/6/03,,,,57,,,,,,,,,,7.8
Willamette Falls,3/7/03,,,,181,,,,,,,,,,7.8
Willamette Falls,3/8/03,,,,30,,,,,,,,,,
Willamette Falls,3/9/03,,,,18,,,,,,,,,,
Willamette Falls,3/10/03,,,,67,,,,,,,,,,8.9
Willamette Falls,3/11/03,,,,140,,,,,,,,,,9.4
Willamette Falls,3/12/03,,,,244,,,,,,,,,,10
Willamette Falls,3/13/03,,,,166,,,,,,,,,,9.4
Willamette Falls,3/14/03,,,,172,,,,,,,,,,9.4
Willamette Falls,3/15/03,,,,172,,,,,,,,,,
Willamette Falls,3/16/03,,,,179,,,,,,,,,,
Willamette Falls,3/17/03,,,,165,,,,,,,,,,9.4
Willamette Falls,3/18/03,,,,138,,,,,,,,,,9.4
Willamette Falls,3/19/03,,1,,63,,,,,,,,,,8.9
Willamette Falls,3/20/03,,,,54,,,,,,,,,,8.9
Willamette Falls,3/21/03,,,,63,,,,,,,,,,8.9
Willamette Falls,3/22/03,,,,115,,,,,,,,,,
Willamette Falls,3/23/03,,,,39,,,,,,,,,,
Willamette Falls,3/24/03,,,,28,,,,,,,,,,8.9
Willamette Falls,3/25/03,,,,32,,,,,,,,,,8.9
Willamette Falls,3/26/03,,,,88,,,,,,,,,,8.9
Willamette Falls,3/27/03,,,,106,,,,,,,,,,8.9
Willamette Falls,3/28/03,,,,40,,,,,,,,,,8.9
Willamette Falls,3/29/03,,,,134,,,,,,,,,,
Willamette Falls,3/30/03,,1,,222,,,,,,,,,,
Willamette Falls,3/31/03,,8,,456,,,,,,,,,,10.6
Willamette Falls,4/1/03,,7,,350,,,,,,,,,,10.6
Willamette Falls,4/2/03,,3,,135,,,,,,,,,,
Willamette Falls,4/3/03,,,,62,,,,,,,,,,9.4
Willamette Falls,4/4/03,,1,,78,,,,,,,,,,8.9
Willamette Falls,4/5/03,,1,,35,,,,,,,,,,
Willamette Falls,4/6/03,,5,,124,,,,,,,,,,
Willamette Falls,4/7/03,,4,,149,,,,,,,,,,8.9
Willamette Falls,4/8/03,,14,,245,,,,,,,,,,8.9
Willamette Falls,4/9/03,,76,,399,,,,,,,,,,10
Willamette Falls,4/10/03,,148,1,268,,,,,,,,,,10.6
Willamette Falls,4/11/03,,182,1,161,,,,,,,,,,10.6
Willamette Falls,4/12/03,,355,,227,,,,,,,,,,
Willamette Falls,4/13/03,,483,,168,,,,,,,,,,
Willamette Falls,4/14/03,,159,1,65,,,,,,,,,,11.1
Willamette Falls,4/15/03,,166,,67,,,,,,,,,,11.1
Willamette Falls,4/16/03,,95,,85,,,,,,,,,,10.6
Willamette Falls,4/17/03,,196,,170,,,,,,,,,,10.6
Willamette Falls,4/18/03,,411,2,225,,,,,,,,,,
Willamette Falls,4/19/03,,553,6,222,,,,,,,,,,10.6
Willamette Falls,4/20/03,,916,11,180,,,,,,,,,,
Willamette Falls,4/21/03,,1334,10,157,,,,,,,,,,11.1
Willamette Falls,4/22/03,,1511,43,128,,,,,,,,,,10.6
Willamette Falls,4/23/03,,1674,10,169,,,,,,,,,,10.6
Willamette Falls,4/24/03,,1341,33,103,,,,,,,,,,10.6
Willamette Falls,4/25/03,,1117,12,66,,,,,,,,,,10
Willamette Falls,4/26/03,,622,,46,,,,,,,,,,
Willamette Falls,4/27/03,,588,1,120,,,,,,,,,,
Willamette Falls,4/28/03,,1118,10,188,,,,,,,,,,10.6
Willamette Falls,4/29/03,,2013,43,278,,,,,,,,,,10.6
Willamette Falls,4/30/03,,2276,36,194,,,,,,,,,,11.1
Willamette Falls,5/1/03,,2066,36,239,,,,,,,,,,11.7
Willamette Falls,5/2/03,,2292,36,220,,,,,,,,,,12.2
Willamette Falls,5/3/03,,2589,60,168,,,,,,,,,,
Willamette Falls,5/4/03,,2544,49,179,,,,,,,,,,
Willamette Falls,5/5/03,,2251,30,204,,,,,,,,,,12.8
Willamette Falls,5/6/03,,2046,24,198,,,,,,,,,,12.2
Willamette Falls,5/7/03,,1512,21,200,,,,,,,,,,11.7
Willamette Falls,5/8/03,,1241,21,126,,,,,,,,,,11.1
Willamette Falls,5/9/03,,1591,33,156,,,,,,,,,,11.7
Willamette Falls,5/10/03,,1758,29,143,,,,,,,,,,
Willamette Falls,5/11/03,,1984,30,171,,,,,,,,,,
Willamette Falls,5/12/03,,1751,80,250,,,,,,,,,,
